time,open,high,low,close,MA,Smoothing Line,VWAP,VWAPUB,VWAPLB,ROC50,ROC100,ROC200,ROC400,BOLLINGERMID,BOLLINGERUpper,BOLLINGERLower
1608422400,23847.28,23863.1,23205.5,23369.11,19723.9819,19636.94612,20017.68554,21853.99811,18181.37297,30.05099284,20.33521095,39.29794026,105.6777856,22913.373,24076.51526,21750.23074
1608436800,23369.1,23678.48,23100,23653.19,19764.9047,19680.47886,20039.04213,21889.62452,18188.45973,31.17726952,20.92070359,41.57593163,108.9539489,23028.6925,23986.99371,22070.39129
1608451200,23653.19,23826.02,23382,23575.2,19806.3932,19723.58486,20065.31669,21934.0253,18196.60807,29.02900953,21.3568169,42.25425371,107.8710831,23119.035,23911.33266,22326.73734
1608465600,23575.17,23950,23312,23897.75,19851.0277,19766.15968,20092.83834,21981.11728,18204.55939,30.10534625,22.96686786,42.74838616,109.3148628,23189.172,23996.30072,22382.04328
1608480000,23899.94,24033,23657,23950.97,19898.8523,19809.03196,20114.1352,22018.27704,18209.99335,29.47856041,24.94956572,40.87156856,110.4972808,23247.8065,24096.3379,22399.2751
1608494400,23951.4,24376,23076.25,23472.96,19940.6894,19852.37346,20173.12374,22114.7042,18231.54328,27.62925522,21.68933473,35.50655279,106.0119467,23254.0365,24107.24626,22400.82674
1608508800,23472.96,24061,23305.61,23962.82,19991.9371,19897.77994,20202.09251,22162.44294,18241.74207,27.48893382,27.20435502,35.43305218,111.7792311,23306.6405,24197.59644,22415.68456
1608523200,23962.8,24145,23708.8,23995.77,20042.3948,19944.98026,20230.38433,22210.07974,18250.68892,27.63707447,26.62675462,35.79941381,110.5738095,23365.5795,24274.93952,22456.21948
1608537600,23997.36,24108,22361,22663,20078.5997,19990.49466,20294.30482,22295.78389,18292.82575,20.7212486,19.01267217,25.4068543,96.75339107,23357.071,24289.0998,22425.0422
1608552000,22663.01,23200,21920,23099.26,20122.9503,20035.31426,20339.68435,22349.78278,18329.58592,20.03625107,23.76239003,27.77991058,100.8282038,23357.9335,24288.97394,22426.89306
1608566400,23099.26,23330,22652.33,22830,20162.9643,20079.76924,20367.27962,22384.33168,18350.22756,18.20789989,21.25171282,25.02738226,98.39907674,23353.9335,24293.28762,22414.57938
1608580800,22830,23253,22710,22730.1,20201.074,20121.59662,20381.73396,22402.03727,18361.43066,18.24096915,20.14347383,27.13572252,100.9910682,23362.249,24276.07495,22448.42305
1608595200,22736.05,22980,22490,22864.47,20239.459,20161.00946,20400.98525,22424.49704,18377.47346,19.08602935,20.17505546,29.39718698,101.1341714,23366.832,24269.64038,22464.02362
1608609600,22864.47,23092.57,22507.18,22668.05,20275.0137,20200.29226,20418.9547,22445.1211,18392.78829,18.21625684,18.60277367,27.43221395,100.0255017,23344.017,24292.11016,22395.92384
1608624000,22668.04,23182,22387,23130.41,20315.1378,20238.72976,20443.55463,22474.58034,18412.52891,20.07856623,20.98760331,28.96389688,104.5552307,23344.4355,24292.14366,22396.72734
1608638400,23131.28,23670,23075,23364.44,20357.306,20277.5981,20474.92643,22517.39046,18432.4624,21.96293783,22.0226848,32.27795284,106.4193404,23368.852,24291.87983,22445.82417
1608652800,23364.45,23532.1,23237,23419.82,20399.666,20317.3165,20490.60982,22538.73945,18442.48018,22.56744663,22.08110793,31.69698664,106.1834378,23394.4435,24292.99872,22495.88828
1608667200,23419.82,23850,23285,23826.99,20445.5542,20358.53554,20508.51337,22564.57981,18452.44694,24.11125273,23.85268453,31.89375869,110.0969496,23407.3315,24322.78019,22491.88281
1608681600,23826.74,24091.46,23546.95,23709.99,20491.7242,20401.87764,20530.97241,22597.71995,18464.22487,23.7079531,24.18164991,31.90720316,109.042065,23401.579,24307.85616,22495.30184
1608696000,23709.99,23712.77,23336,23577.01,20536.1727,20446.08462,20552.37647,22627.24258,18477.51037,22.34641191,23.23234805,32.36825499,107.9851551,23388.0655,24275.2144,22500.9166
1608710400,23577.01,23750,22800.66,23080,20575.6016,20489.74374,20582.09797,22664.17371,18500.02223,18.42723703,20.60337219,28.44643261,103.5221322,23373.61,24270.88717,22476.33283
1608724800,23080,24235.42,22950.75,23471.08,20616.5622,20533.12298,20628.72594,22727.13339,18530.31849,22.2633568,21.14093302,28.79920979,106.6798459,23364.5045,24253.90979,22475.09921
1608739200,23471.54,23694.86,23365.25,23566,20659.3491,20575.88196,20642.42488,22745.35859,18539.49116,22.14425731,22.18396448,28.88892778,107.3643104,23364.0445,24253.02284,22475.06616
1608753600,23566,23637.99,22572.52,23238.27,20697.9161,20617.12034,20664.55179,22771.27612,18557.82745,19.74909563,19.89880077,24.41026536,102.9110827,23331.0705,24186.71581,22475.42519
1608768000,23237.73,23250.55,22700,22897.88,20735.7531,20657.03642,20683.56163,22791.74496,18575.37829,17.22550183,19.79525148,22.84270386,100.5452885,23278.416,24104.07612,22452.75588
1608782400,22897.87,23227.32,22790,23178.87,20775.3825,20696.9926,20694.55789,22804.0575,18585.05827,19.32549494,20.62320169,24.18819662,102.5142523,23263.7115,24085.45486,22441.96814
1608796800,23178.87,23496,23063.5,23235.65,20818.059,20737.29196,20709.42975,22821.83349,18597.02601,20.11936641,22.49920919,24.45473906,103.2787014,23227.353,23983.91188,22470.79412
1608811200,23235.65,23444.14,23034.56,23245.29,20858.7831,20777.17876,20721.35865,22835.90031,18606.81699,19.70070306,21.24047092,24.42852983,102.1136239,23189.829,23859.69506,22519.96294
1608825600,23247.88,23493.51,23134.1,23301.27,20900.1958,20817.6347,20729.88381,22846.14271,18613.62491,17.98804385,21.61414405,25.66371634,104.171621,23221.7425,23847.53857,22595.94643
1608840000,23301.27,23819.81,23277,23737.44,20946.0552,20859.69512,20743.4821,22863.95751,18623.0067,14.85950693,23.94559173,26.17754042,107.1501564,23253.6515,23915.26798,22592.03502
1608854400,23738.75,23836,23450,23492.62,20993.322,20903.28302,20752.12806,22875.17619,18629.07993,13.28432448,25.18754723,25.56425458,104.7404905,23286.7825,23926.21255,22647.35245
1608868800,23490.14,23699,23461.22,23664.51,21041.9172,20948.05466,20759.20962,22884.37627,18634.04296,10.85741188,25.8416516,26.39954407,100.5276618,23333.503,23939.05737,22727.94863
1608883200,23668.73,24718,23610,24605.23,21100.0496,20996.30796,20801.39067,22948.65422,18654.12712,13.03213151,30.93466951,32.39017314,110.5226097,23420.541,24205.30413,22635.77787
1608897600,24605.22,24673.77,23708,24033.28,21157.1892,21047.70664,20831.01838,22991.52578,18670.51097,6.838272132,31.19089573,29.73871716,104.6256279,23488.8025,24236.50292,22741.10208
1608912000,24032.93,24547.94,24001,24461.23,21218.9045,21102.2765,20848.78046,23018.13415,18679.42677,7.38839807,33.74319972,36.46280097,108.3951061,23555.3435,24394.85473,22715.83227
1608926400,24462.47,24827.64,24227.1,24730,21286.965,21161.0051,20867.50736,23047.50104,18687.51368,5.917503414,37.97181983,35.0602255,110.8267597,23623.6215,24600.76341,22646.47959
1608940800,24729.99,25071,24507.24,24931.98,21353.9264,21223.40694,20893.46983,23089.75408,18697.18557,8.822237955,36.71966852,33.9872913,111.750947,23699.2295,24824.39323,22574.06577
